  Step                  Energy    RxCoord     X1        Y1        Z1
   1                   -0.00018  -0.38540   2.48090   1.36908  -0.00000
   2                   -0.00017  -0.33770   2.48199   1.36932  -0.00000
   3                   -0.00015  -0.28947   2.48330   1.36934   0.00000
   4                   -0.00012  -0.24123   2.48467   1.36929   0.00000
   5                   -0.00009  -0.19299   2.48612   1.36922  -0.00000
   6                   -0.00006  -0.14474   2.48763   1.36917  -0.00000
   7                   -0.00003  -0.09649   2.48922   1.36914  -0.00000
   8                   -0.00001  -0.04826   2.49091   1.36912   0.00000
   9                    0.00000   0.00000   2.49265   1.36911   0.00000
  10                   -0.00001   0.04825   2.49440   1.36907   0.00000
  11                   -0.00003   0.09648   2.49617   1.36900   0.00000
  12                   -0.00006   0.14473   2.49801   1.36890  -0.00000
  13                   -0.00009   0.19298   2.49989   1.36873  -0.00000
  14                   -0.00012   0.24122   2.50180   1.36852  -0.00000
  15                   -0.00015   0.28946   2.50377   1.36827  -0.00000
  16                   -0.00017   0.33769   2.50585   1.36802   0.00000
  17                   -0.00018   0.38540   2.50831   1.36788  -0.00000
                          X2        Y2        Z2        X3        Y3
   1                    3.68600   0.67327  -0.00000   3.67991  -0.71852
   2                    3.68763   0.67450   0.00000   3.67961  -0.71681
   3                    3.68954   0.67554   0.00000   3.67965  -0.71516
   4                    3.69153   0.67650  -0.00000   3.67995  -0.71351
   5                    3.69354   0.67740   0.00000   3.68046  -0.71185
   6                    3.69554   0.67825   0.00000   3.68113  -0.71018
   7                    3.69752   0.67905  -0.00000   3.68194  -0.70850
   8                    3.69952   0.67986  -0.00000   3.68287  -0.70682
   9                    3.70151   0.68067   0.00000   3.68386  -0.70515
  10                    3.70342   0.68146   0.00000   3.68479  -0.70351
  11                    3.70534   0.68228   0.00000   3.68568  -0.70189
  12                    3.70736   0.68316   0.00000   3.68656  -0.70029
  13                    3.70947   0.68408   0.00000   3.68737  -0.69873
  14                    3.71166   0.68503   0.00000   3.68806  -0.69723
  15                    3.71394   0.68598   0.00000   3.68861  -0.69580
  16                    3.71633   0.68688  -0.00000   3.68899  -0.69450
  17                    3.71888   0.68738  -0.00000   3.68912  -0.69368
                          Z3        X4        Y4        Z4        X5
   1                    0.00000   2.47887  -1.40823   0.00000  -2.44768
   2                    0.00000   2.47711  -1.40677  -0.00000  -2.44956
   3                   -0.00000   2.47523  -1.40535  -0.00000  -2.45134
   4                   -0.00000   2.47333  -1.40402  -0.00000  -2.45315
   5                    0.00000   2.47138  -1.40279  -0.00000  -2.45502
   6                    0.00000   2.46937  -1.40167  -0.00000  -2.45696
   7                    0.00000   2.46732  -1.40065  -0.00000  -2.45898
